id_histology,id_xenium,overlap,size_pix_histology
101269,53709,29,29
101273,53710,17,17
101285,53746,24,26
101286,53751,43,50
101300,53806,24,24
101302,53814,11,11
101305,53836,5,6
101307,53827,7,7
101314,53837,18,18
101326,53869,18,18
101327,53886,36,42
101329,53897,53,56
101336,53906,18,23
101339,53901,127,129
101342,53921,37,54
101343,53950,49,61
101344,53937,15,15
101346,53936,13,13
101351,53958,32,32
101355,53990,6,8
101365,54005,23,23
101377,54037,14,14
101384,54071,15,20
101386,54072,19,19
101387,54089,13,13
101389,54099,16,16
101392,54100,24,27
101400,54128,15,15
101401,54137,22,22
101407,54148,16,16
101410,54173,24,24
101411,54195,37,37
101412,54228,40,74
101413,54194,12,12
101416,54218,18,18
101418,54219,13,13
101424,54249,13,13
101431,54248,16,16
101432,54269,11,11
101438,54308,20,20
101441,54326,22,22
101447,54335,9,10
101448,54307,41,42
101451,54372,9,9
101460,54408,23,23
101461,54416,16,17
101465,54426,19,19
101468,54439,15,15
101478,54463,22,22
101480,54464,10,11
101486,54509,60,61
101487,54503,16,16
101488,54510,10,14
101489,54520,23,23
101492,54511,20,20
101495,54534,10,10
101496,54547,20,20
101499,54546,24,24
101500,54558,25,25
101502,54557,16,16
101505,54576,12,12
101507,54585,8,11
101511,54595,11,11
101514,54611,10,10
101523,54630,18,18
101524,54629,17,17
101528,54640,12,12
101532,54649,19,19
101551,54711,13,13
101554,54734,19,19
101556,54726,27,27
101558,54727,22,22
101561,54742,23,23
101564,54741,20,20
101567,54775,52,53
101577,54784,17,17
101578,54797,22,22
101592,54818,10,10
101594,54829,20,20
101595,54842,24,25
101596,54830,14,16
101603,54862,18,18
101604,54880,27,28
101605,54861,15,15
101619,54893,15,15
101621,54892,13,13
101622,54894,16,16
101623,54907,22,22
101625,54891,11,11
101633,54917,15,17
101639,54924,10,10
101640,54925,16,16
101649,54939,25,26
101651,54950,15,15
101654,54958,14,14
101657,54970,20,20
101662,54981,15,15
101668,54997,21,21
101671,55022,10,12
101678,55010,21,21
101680,55023,6,6
101681,55011,24,24
101685,55050,24,24
101686,55091,25,40
101687,55059,19,19
101688,55051,21,21
101689,55049,11,11
101692,55068,27,27
101696,55078,24,25
101699,55079,12,12
101701,55092,17,17
101702,55093,16,16
101708,55107,18,18
101709,55119,5,5
101712,55130,15,15
101716,55142,22,22
101718,55143,21,22
101723,55154,19,20
101724,55151,19,19
101727,55163,24,24
101730,55172,20,20
101735,55186,11,11
101736,55187,13,13
101744,55211,22,22
101748,55224,16,16
101758,55255,19,19
101759,55235,21,21
101760,55256,21,21
101764,55266,19,19
101767,55267,23,23
101773,55280,19,19
101774,55293,22,22
101775,55295,22,22
101776,55294,20,22
101778,55312,20,20
101782,55323,23,23
101783,55324,15,15
101791,55325,17,17
101792,55343,27,27
101796,55351,17,17
101807,55368,26,26
101811,55383,19,19
101813,55397,20,21
101820,55408,11,11
101821,55359,17,17
101823,55407,26,26
101824,55409,27,27
101830,55418,19,19
101835,55440,25,25
101839,55433,18,18
101840,55457,16,16
101844,55466,31,31
101845,55467,19,19
101847,55484,29,29
101855,55498,17,17
101862,55524,21,21
101863,55525,23,23
101865,55539,14,14
101869,55554,20,20
101876,55555,28,28
101881,55576,19,19
101882,55575,20,20
101884,55596,16,16
101885,55597,23,23
101888,55586,20,20
101893,55598,6,6
101895,55614,17,17
101898,55622,29,29
101899,55630,18,18
101907,55638,12,12
101909,55644,19,19
101922,55694,14,14
101924,55714,37,41
101925,55713,27,27
101928,55703,13,13
101935,55740,25,25
101937,55746,28,28
101938,55747,18,18
101939,55748,9,9
101941,55767,16,16
101947,55768,7,7
101949,55755,27,27
101955,55797,11,11
101959,55803,13,13
101961,55802,21,21
101970,55832,27,27
101971,55826,44,51
101980,55845,19,19
101981,55853,12,12
101991,55900,12,12
101995,55901,17,17
101999,55933,19,19
102003,55934,16,16
102006,55947,22,23
102011,55963,8,8
102016,55975,17,19
102018,55974,20,20
102023,55992,15,15
102025,55982,31,31
102027,55983,11,11
102032,56005,23,23
102034,56023,35,44
102040,56022,18,18
102053,56067,15,15
102064,56075,20,23
102074,56105,21,21
102077,56114,19,19
102079,56123,12,12
102083,56113,15,15
102088,56145,17,17
102091,56146,18,18
102098,56157,26,43
102104,56178,24,24
102107,56195,17,17
102108,56203,9,10
102114,56210,19,19
102118,56219,15,15
102119,56222,11,11
102121,56218,15,15
102125,56235,11,11
102130,56241,17,17
102131,56253,16,16
102139,56254,16,17
102143,56277,12,13
102144,56268,18,19
102145,56267,17,17
102149,56266,23,23
102154,56304,18,18
102159,56303,17,17
102160,56310,19,19
102161,56311,16,16
102164,56327,24,24
102168,56347,32,48
102172,56344,18,18
102180,56365,24,24
102184,56372,15,15
102187,56364,23,23
102188,56371,16,16
102190,56380,13,20
102191,56387,11,12
102193,56388,9,16
102203,67674,23,26
102215,53711,32,35
102218,53718,56,56
102219,53723,15,15
102223,53736,106,114
102225,53735,21,21
102226,53742,25,30
102228,53747,39,39
102230,53756,23,23
102231,53774,37,37
102232,53773,23,23
102233,53780,37,37
102234,53779,35,36
102236,53790,7,7
102237,53815,19,28
102238,53807,24,24
102239,53795,60,60
102240,53816,40,41
102241,53828,38,39
102242,53839,83,84
102243,53829,35,35
102244,53846,16,18
102247,53838,38,38
102250,53849,7,7
102253,53847,29,29
102255,53861,19,19
102258,53888,37,38
102259,53898,36,39
102263,53889,112,113
102264,53902,40,41
102266,53878,12,16
102267,53887,47,47
102268,53913,34,46
102269,53908,32,48
102270,53909,10,13
102271,53907,35,36
102279,53927,24,24
102284,53951,46,50
102286,53960,28,28
102287,53968,39,41
102289,53976,16,16
102291,53938,43,43
102292,53977,33,35
102295,53982,28,28
102296,53998,27,39
102297,53981,30,30
102298,53959,27,27
102299,54006,33,38
102306,54007,13,20
102309,54028,34,39
102310,54015,5,5
102311,54022,22,22
102312,54027,46,46
102313,54040,11,11
102316,54038,22,22
102319,54041,11,11
102321,54049,15,17
102322,54050,25,25
102325,54056,32,32
102326,54055,12,12
102327,54063,27,27
102330,54073,25,25
102333,54091,26,26
102335,54082,7,9
102336,54090,18,18
102337,54081,12,12
102339,54124,8,9
102340,54116,33,37
102341,54115,25,29
102342,54122,23,23
102344,54141,29,35
102346,54101,26,26
102347,54123,18,20
102348,54142,16,25
102349,54138,13,13
102353,54149,19,19
102354,54150,15,15
102355,54165,19,19
102356,54164,13,13
102361,54174,19,19
102363,54181,12,12
102365,54182,9,9
102366,54179,6,6
102367,54140,32,34
102368,54139,17,17
102369,54180,13,13
102370,54196,37,41
102371,54197,27,31
102372,54210,14,14
102374,54220,14,15
102376,54209,10,10
102377,54211,15,15
102378,54221,13,13
102379,54198,16,16
102381,54222,11,11
102384,54233,11,12
102385,54239,17,17
102387,54240,30,30
102388,54229,17,23
102390,54250,18,18
102395,54258,19,19
102397,54257,39,39
102398,54271,20,21
102402,54298,44,44
102403,54287,45,45
102404,54270,18,19
102405,54286,17,17
102407,54280,10,10
102408,54310,12,12
102409,54299,10,10
102410,54300,30,30
102411,54272,34,37
102413,54309,13,13
102416,54317,15,15
102417,54328,20,20
102418,54330,24,24
102419,54327,23,23
102420,54336,33,35
102423,54329,16,16
102425,54337,12,12
102430,54352,15,15
102432,54353,57,57
102435,54360,22,22
102438,54365,15,15
102442,54373,45,45
102444,54388,46,49
102448,54401,21,22
102450,54396,20,20
102453,54409,15,15
102455,54410,14,14
102458,54411,19,19
102459,54427,19,20
102462,54417,20,20
102464,54441,21,21
102465,54418,25,25
102466,54440,16,17
102467,54442,77,89
102474,54466,36,36
102476,54456,15,15
102477,54467,8,8
102479,54465,22,22
102480,54476,9,9
102481,54479,47,47
102482,54477,15,16
102483,54457,11,11
102487,54504,23,31
102488,54493,19,19
102489,54478,24,24
102492,54494,14,14
102493,54495,10,10
102494,54512,26,27
102500,54529,18,18
102501,54535,16,16
102504,54528,15,15
102505,54505,19,19
102508,54568,25,25
102509,54567,6,7
102510,54559,14,14
102516,54586,13,15
102517,54569,20,20
102519,54570,14,14
102520,54578,16,16
102521,54577,15,15
102524,54587,19,35
102526,54596,33,51
102531,54604,7,8
102532,54597,22,22
102535,54605,17,17
102538,54621,15,15
102541,54622,9,9
102544,54632,9,9
102547,54631,17,17
102548,54651,69,74
102552,54650,15,15
102553,54641,12,12
102554,54652,29,32
102555,54653,24,24
102557,54654,29,31
102560,54666,24,24
102561,54675,15,17
102563,54671,10,10
102565,54676,17,17
102566,54674,20,20
102568,54693,14,23
102569,54694,29,29
102572,54712,8,8
102575,54707,22,22
102576,54714,36,38
102577,54695,13,13
102579,54713,19,19
102581,54715,47,47
102585,54729,25,28
102586,54728,26,26
102588,54721,16,16
102593,54748,15,19
102594,54743,29,29
102597,54749,49,49
102598,54761,20,20
102599,54759,19,19
102600,54744,41,44
102604,54767,33,36
102605,54777,20,20
102606,54787,42,42
102608,54760,14,14
102609,54819,17,22
102610,54776,24,24
102611,54786,14,18
102613,54798,19,19
102614,54785,16,21
102616,54808,18,18
102617,54809,50,51
102618,54810,17,17
102620,54799,6,6
102621,54820,11,11
102623,54831,19,19
102630,54882,112,165
102632,54856,16,16
102633,54857,14,20
102634,54863,18,18
102638,54881,20,20
102643,54887,20,20
102644,54832,32,42
102645,54895,23,23
102646,54896,17,17
102647,54908,38,40
102648,54974,52,89
102649,54909,23,23
102650,54918,5,6
102651,54940,41,41
102652,54927,13,13
102654,54951,21,24
102656,54926,19,19
102658,54941,61,61
102659,54960,39,42
102661,54952,17,21
102662,54963,13,13
102663,54972,16,16
102665,54971,18,18
102667,54973,30,30
102668,54962,14,14
102669,54959,17,17
102670,54961,30,30
102673,54982,44,48
102680,55012,26,30
102682,55024,56,56
102683,54998,48,48
102685,55033,16,16
102686,55034,15,15
102687,55045,29,29
102689,55062,29,32
102691,55052,11,11
102692,55054,19,19
102693,55053,18,18
102694,55061,27,27
102695,55046,19,28
102697,55060,16,16
102698,55069,20,20
102699,55109,54,81
102700,55071,19,19
102701,55070,27,27
102703,55120,25,46
102704,55094,14,14
102705,55080,29,29
102707,55121,36,43
102710,55144,11,18
102713,55108,18,18
102714,55132,29,31
102715,55131,20,20
102717,55133,14,14
102719,55155,37,37
102720,55152,9,9
102723,55164,17,17
102725,55165,40,43
102726,55175,99,99
102727,55176,7,7
102728,55173,28,42
102729,55188,21,21
102730,55174,25,27
102731,55205,12,14
102732,55197,19,19
102733,55199,25,25
102735,55206,11,11
102736,55198,5,5
102738,55212,11,11
102741,55213,15,15
102742,55225,30,31
102744,55219,62,101
102746,55226,12,12
102749,55236,17,17
102751,55269,68,108
102752,55257,16,16
102753,55258,18,18
102754,55274,57,57
102757,55268,12,12
102758,55283,159,166
102760,55282,26,26
102761,55281,16,16
102762,55296,19,19
102763,55298,16,16
102764,55299,22,22
102765,55304,10,11
102766,55297,13,13
102767,55303,17,17
102768,55305,20,20
102771,55313,24,24
102772,55326,15,15
102775,55333,22,22
102776,55334,37,37
102777,55352,19,19
102778,55354,49,49
102779,55360,13,13
102781,55353,13,13
102782,55371,22,24
102783,55369,38,38
102784,55370,19,19
102790,55389,28,28
102795,55419,46,46
102798,55434,20,20
102800,55420,15,15
102801,55441,19,19
102802,55442,19,22
102803,55449,23,23
102804,55468,15,15
102806,55488,88,93
102807,55469,15,18
102808,55479,31,31
102809,55478,41,41
102810,55487,19,19
102812,55486,14,14
102813,55485,17,17
102816,55505,19,19
102818,55512,21,21
102820,55526,14,14
102821,55540,26,26
102822,55541,38,38
102823,55527,16,16
102825,55546,16,16
102826,55542,76,89
102827,55547,10,10
102828,55565,74,115
102829,55556,15,15
102838,55587,21,22
102839,55599,18,32
102840,55577,63,63
102843,55590,17,22
102844,55606,17,17
102845,55588,21,21
102846,55589,18,18
102848,55623,12,13
102849,55616,19,19
102850,55605,15,15
102851,55624,29,29
102852,55615,12,12
102855,55631,24,24
102859,55641,23,23
102860,55645,21,21
102861,55647,91,94
102862,55640,18,18
102865,55646,125,129
102866,55639,17,17
102867,55659,9,9
102871,55660,19,19
102872,55665,11,11
102873,55664,17,17
102875,55675,26,26
102876,55658,10,10
102878,55689,15,15
102881,55695,20,20
102883,55705,21,21
102886,55704,18,18
102887,55715,19,19
102891,55736,13,13
102893,55749,12,13
102894,55757,41,49
102895,55756,19,19
102899,55786,21,21
102900,55807,10,15
102901,55785,15,15
102904,55787,43,43
102905,55808,17,17
102907,55806,26,26
102908,55805,26,26
102910,55778,19,19
102912,55804,21,21
102913,55814,16,16
102914,55816,65,65
102915,55815,8,8
102916,55833,32,53
102917,55836,18,18
102918,55835,11,11
102919,55834,22,22
102921,55854,32,38
102922,55865,17,17
102923,55855,15,15
102925,55873,41,41
102926,55874,16,16
102927,55881,27,27
102929,55882,15,15
102931,55894,32,33
102932,55888,13,13
102933,55902,10,10
102935,55903,31,31
102938,55924,117,119
102939,55911,18,18
102941,55912,5,5
102942,55922,24,24
102945,55923,18,18
102946,55935,18,18
102947,55941,18,18
102949,55936,15,15
102950,55954,5,5
102951,55956,4,4
102952,55958,40,43
102953,55955,24,24
102954,55957,16,16
102955,55964,14,14
102957,55976,12,12
102959,55986,22,22
102960,55984,18,18
102961,56006,21,21
102963,55985,31,31
102964,55977,12,12
102965,56024,21,21
102966,56015,67,73
102967,56035,19,19
102968,56040,28,32
102969,56041,48,48
102970,56058,13,13
102971,56059,16,16
102972,56060,15,15
102973,56068,36,36
102978,56082,40,42
102980,56095,16,16
102981,56126,17,26
102983,56093,29,34
102984,56094,15,15
102986,56106,8,8
102987,56088,15,18
102988,56115,76,80
102989,56116,22,22
102994,56124,13,13
102997,56138,7,7
103000,56148,55,55
103001,56147,17,17
103007,56167,17,21
103008,56170,53,61
103009,56165,22,22
103010,56166,25,25
103011,56152,17,17
103012,56168,16,16
103013,56179,121,148
103015,56187,18,18
103016,56196,29,29
103017,56204,25,25
103018,56223,108,116
103019,56229,88,90
103020,56228,12,12
103021,56236,18,20
103025,56243,2,2
103027,56242,38,38
103028,56269,9,11
103030,56255,18,22
103032,56247,11,11
103033,56271,17,17
103035,56270,21,21
103036,56295,49,56
103037,56278,13,13
103038,56294,33,35
103039,56305,15,15
103041,56306,27,27
103042,56312,12,12
103043,56314,20,23
103044,56315,49,52
103046,56313,31,31
103047,56322,37,39
103050,56316,35,35
103053,56328,20,20
103055,56323,39,44
103058,56348,13,13
103059,56359,63,69
103060,56358,3,3
103062,56345,35,35
103063,56367,16,16
103064,56357,15,15
103065,56336,15,15
103066,56356,19,19
103067,56366,24,27
103070,67678,18,34
103080,67680,17,21
103084,53672,17,20
103089,53712,6,6
103090,53698,27,27
103091,53687,21,21
103092,61917,55,62
103098,53737,64,66
103099,53713,32,59
103101,53743,72,72
103102,53748,28,29
103105,53765,44,44
103106,53775,29,29
103107,53782,33,33
103109,53796,102,107
103110,53797,23,26
103114,61986,33,34
103116,61998,13,16
103119,53808,7,7
103121,61987,21,21
103122,62009,40,40
103123,53817,31,34
103128,62029,31,31
103130,53890,55,56
103131,53891,21,22
103132,53899,31,32
103133,62050,56,79
103136,53930,18,18
103137,53928,36,40
103138,53929,9,9
103140,62073,12,12
103141,62068,15,15
103143,62074,15,15
103146,53952,72,76
103147,53984,72,85
103150,53991,81,89
103151,62110,94,133
103154,62094,20,20
103156,62111,66,74
103158,53983,34,34
103159,54010,129,139
103162,53999,53,54
103164,62140,30,30
103165,62139,35,36
103170,54057,96,104
103173,54064,70,83
103174,54030,6,6
103178,54092,75,98
103180,54029,27,27
103181,54051,6,6
103185,54110,45,49
103186,62202,20,20
103191,62190,17,19
103193,54151,144,150
103198,62228,24,24
103203,54199,36,36
103204,62262,21,21
103205,54212,103,103
103206,62278,19,19
103207,62254,24,24
103211,62305,25,30
103213,62311,24,24
103214,54259,88,88
103215,54274,67,109
103216,54273,40,40
103217,62296,22,22
103220,54281,32,32
103223,54288,21,21
103224,62352,46,48
103225,62337,30,30
103227,54318,52,52
103229,54331,67,67
103230,54338,7,7
103242,62390,20,20
103243,62391,30,33
103247,54391,74,78
103250,54389,9,9
103253,54402,47,51
103254,62418,13,13
103257,62425,26,26
103261,62448,19,19
103262,54419,12,12
103265,54443,25,25
103267,54451,15,16
103269,54481,63,107
103270,54468,32,32
103271,62476,39,50
103272,62468,38,38
103273,54469,8,8
103274,54452,38,38
103278,54480,56,70
103280,62477,20,20
103285,62487,18,18
103286,62486,17,17
103292,54513,26,26
103294,62492,36,36
103301,54538,9,9
103302,54539,15,15
103303,54551,33,37
103304,62528,24,28
103306,54549,47,47
103308,54548,26,26
103310,54560,7,7
103311,54561,67,67
103312,54562,44,44
103313,54550,3,3
103314,62542,16,17
103315,54572,12,12
103316,62550,32,38
103317,54571,16,16
103319,62546,31,31
103320,54598,19,23
103323,62556,32,32
103324,54607,33,66
103327,54599,27,27
103330,62561,17,17
103332,62568,25,25
103333,54623,20,20
103334,62572,16,16
103335,54625,25,25
103336,62581,20,20
103337,54606,10,10
103338,54624,5,5
103341,54655,59,61
103342,54656,30,30
103344,62601,27,27
103347,54657,21,21
103348,62600,10,12
103350,62612,26,26
103352,54667,14,14
103353,62611,20,20
103355,54677,19,19
